...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
5999,S36840463,Northern Parula,Setophaga americana,2017-05-13,05:30:00,2,90,US-MO,38.661,-90.758,79,5,2017
6000,S37773842,Northern Parula,Setophaga americana,2017-06-24,11:52:00,1,79,US-MO,38.5474,-90.4319,28,6,2017
6001,S45094421,Northern Parula,Setophaga americana,2018-04-29,09:15:00,1,136,US-MO,38.5094049,-90.588381,34,4,2018
6002,S17855769,Northern Parula,Setophaga americana,2014-04-12,08:45:00,1,120,US-MO,38.690995,-90.2349186,200,4,2014
6003,S17931688,Northern Parula,Setophaga americana,2014-04-17,08:00:00,1,120,US-MO,38.6389068,-90.2853806,307,4,2014
6004,S18164541,Northern Parula,Setophaga americana,2014-05-01,08:30:00,1,60,US-MO,38.6389068,-90.2853806,91,5,2014
6005,S23197329,Northern Parula,Setophaga americana,2015-05-03,07:00:00,2,180,US-MO,38.6389068,-90.2853806,120,5,2015
6006,S29265867,Northern Parula,Setophaga americana,2016-04-27,08:00:00,1,45,US-MO,38.6389068,-90.2853806,87,4,2016
6007,S35811314,Northern Parula,Setophaga americana,2017-04-09,07:47:00,1,74,US-MO,38.6389068,-90.2853806,51,4,2017
6008,S36118134,Northern Parula,Setophaga americana,2017-04-20,07:00:00,1,98,US-MO,38.6389068,-90.2853806,237,4,2017
6009,S36636292,Northern Parula,Setophaga americana,2017-05-07,07:34:00,1,79,US-MO,38.6389068,-90.2853806,54,5,2017
6010,S36956314,Northern Parula,Setophaga americana,2017-05-18,07:04:00,1,126,US-MO,38.6389068,-90.2853806,140,5,2017
6011,S17750325,Northern Parula,Setophaga americana,2014-04-05,07:45:00,1,120,US-MO,38.636316,-90.296545,126,4,2014
6012,S23065952,Northern Parula,Setophaga americana,2015-04-26,07:00:00,2,180,US-MO,38.636316,-90.296545,142,4,2015
6013,S23073614,Northern Parula,Setophaga americana,2015-04-26,13:30:00,1,90,US-MO,38.6129807,-90.2593803,15,4,2015
6014,S18038813,Northern Parula,Setophaga americana,2014-04-20,07:30:00,2,180,US-MO,37.0223596,-90.0990486,103,4,2014
6015,S88192658,Northern Parula,Setophaga americana,2021-05-15,12:31:00,1,46,US-OK,36.2222811,-95.9239566,37,5,2021
6016,S66369682,Northern Parula,Setophaga americana,2020-03-29,09:31:00,1,189,US-OK,36.1497985,-96.2401081,219,3,2020
6017,S106694384,Northern Parula,Setophaga americana,2022-04-10,09:00:00,1,44,US-OK,36.1499519,-96.2529969,79,4,2022
6018,S68330982,Northern Parula,Setophaga americana,2020-05-03,10:37:00,1,154,US-OK,36.2213571,-95.9341192,140,5,2020
6019,S54964350,Northern Parula,Setophaga americana,2019-04-14,17:06:00,1,99,US-OK,36.2235555,-95.9005058,62,4,2019
6020,S106718425,Northern Parula,Setophaga americana,2022-04-10,11:33:00,2,102,US-OK,36.1385187,-96.2190977,21,4,2022
6021,S107971136,Northern Parula,Setophaga americana,2022-04-10,10:25:00,2,46,US-OK,36.1389808,-96.2487557,13,4,2022
